Batch Index,Loss
0,0.013481958
300,0.0034734216
600,0.0019262142
900,0.0038892976
1200,0.0040345574
1500,0.005735688
1800,0.0030643144
2100,0.014536058
2400,0.0040279385
2700,0.005760244
3000,0.004473996
3300,0.0037761196
3600,0.009260178
3900,0.010133941
4200,0.004300962
4500,0.0041694236
4800,0.0064007905
5100,0.006157573
5400,0.0011455737
5700,0.003734029
6000,0.00832471
6300,0.004933918
6600,0.0021742042
6900,0.003505341
7200,0.0029025842
7500,0.0025218055
7800,0.0022425212
8100,0.00588091
8400,0.002225719
8700,0.008062629
9000,0.0010946023
9300,0.0044772876
9600,0.0038960585
9900,0.0036085648
10200,0.0038746996
10500,0.004872638
10800,0.008999719
11100,0.002557255
11400,0.0028844862
11700,0.0022974918
12000,0.008790366
12300,0.0015579411
0,0.00072109
300,0.008239532
600,0.0040222914
900,0.0007239628
1200,0.0023144009
1500,0.0039947745
1800,0.0058320775
2100,0.0013081814
2400,0.0037271506
2700,0.0015811505
3000,0.0022355036
3300,0.0036451374
3600,0.0019572182
3900,0.0031392123
4200,0.002633554
4500,0.0026722448
4800,0.00095329655
5100,0.0071992553
5400,0.0015638851
5700,0.00533545
6000,0.0006220775
